end_rounds,n_players,result,winner,iter
5,3,set,A,789
6,3,set,B,790
3,3,tie,,791
14,3,set,B,792
5,3,set,B,793
5,3,set,B,794
14,3,set,A,795
2,3,tie,,796
34,3,set,C,797
4,3,set,A,798
4,3,set,C,799
22,3,set,B,800
11,3,set,B,801
17,3,set,B,802
15,3,set,C,803
10,3,set,B,804
11,3,set,C,805
5,3,set,C,806
6,3,set,A,807
15,3,set,A,808
24,3,set,B,809
22,3,set,A,810
7,3,set,A,811
11,3,set,C,812
14,3,set,B,813
8,3,set,A,814
3,3,set,A,815
11,3,set,B,816
10,3,set,B,817
13,3,set,C,818
4,3,set,A,819
2,3,set,B,820
36,3,set,B,821
5,3,set,A,822
6,3,set,C,823
23,3,set,B,824
3,3,set,A,825
6,3,tie,,826
5,3,set,C,827
8,3,set,C,828
9,3,set,C,829
2,3,set,B,830
7,3,set,B,831
12,3,set,A,832
3,3,set,C,833
8,3,set,B,834
12,3,set,C,835
8,3,set,A,836
12,3,tie,,837
25,3,set,A,838
27,3,set,A,839
17,3,set,C,840
7,3,tie,,841
7,3,set,A,842
24,3,set,A,843
9,3,set,A,844
12,3,set,C,845
21,3,set,B,846
28,3,set,C,847
4,3,tie,,848
3,3,tie,,849
5,3,set,B,850
40,3,set,B,851
7,3,set,C,852
6,3,set,C,853
13,3,set,A,854
11,3,set,A,855
5,3,set,A,856
6,3,set,B,857
68,3,set,A,858
27,3,set,B,859
6,3,set,C,860
12,3,set,B,861
22,3,set,A,862
16,3,set,A,863
5,3,set,C,864
5,3,set,B,865
12,3,set,B,866
4,3,set,C,867
46,3,set,A,868
3,3,set,A,869
41,3,set,A,870
18,3,set,B,871
11,3,set,B,872
5,3,set,C,873
6,3,set,A,874
6,3,set,A,875
13,3,set,A,876
16,3,set,C,877
16,3,set,B,878
4,3,set,B,879
10,3,set,C,880
25,3,set,B,881
7,3,tie,,882
17,3,set,B,883
14,3,set,A,884
12,3,set,B,885
9,3,set,A,886
7,3,set,A,887
11,3,set,A,888
12,3,set,B,889
3,3,set,C,890
2,3,set,B,891
9,3,set,C,892
7,3,set,B,893
2,3,set,B,894
17,3,tie,,895
10,3,set,B,896
4,3,set,B,897
40,3,tie,,898
39,3,set,A,899
4,3,set,B,900
11,3,set,C,901
5,3,set,B,902
9,3,set,C,903
22,3,set,B,904
4,3,set,C,905
20,3,set,B,906
20,3,set,B,907
2,3,set,A,908
27,3,set,A,909
7,3,set,B,910
5,3,set,C,911
6,3,set,A,912
21,3,set,C,913
9,3,set,C,914
8,3,set,B,915
3,3,tie,,916
7,3,set,C,917
4,3,set,A,918
55,3,tie,,919
21,3,set,A,920
34,3,set,A,921
3,3,tie,,922
4,3,set,A,923
9,3,set,C,924
20,3,set,C,925
6,3,set,A,926
13,3,set,C,927
5,3,set,B,928
7,3,set,A,929
25,3,set,A,930
8,3,set,C,931
16,3,set,A,932
21,3,set,C,933
11,3,tie,,934
3,3,set,B,935
7,3,set,C,936
